bag,t,wall,dt_s,hd_pair
fixed_0824_2026-08-24-17-36-06,1787564259.028,2026-08-24 17:37:39.028,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564259.028,2026-08-24 17:37:39.028,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564260.031,2026-08-24 17:37:40.031,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564260.031,2026-08-24 17:37:40.031,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564306.405,2026-08-24 17:38:26.405,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564306.806,2026-08-24 17:38:26.806,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564307.408,2026-08-24 17:38:27.408,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564308.01,2026-08-24 17:38:28.010,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564308.211,2026-08-24 17:38:28.211,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564309.013,2026-08-24 17:38:29.013,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564309.017,2026-08-24 17:38:29.017,0.003,1
fixed_0824_2026-08-24-17-36-06,1787564352.396,2026-08-24 17:39:12.396,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564352.999,2026-08-24 17:39:12.999,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564352.999,2026-08-24 17:39:12.999,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564353.4,2026-08-24 17:39:13.400,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564353.401,2026-08-24 17:39:13.401,0.001,1
fixed_0824_2026-08-24-17-36-06,1787564354.203,2026-08-24 17:39:14.203,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564354.203,2026-08-24 17:39:14.203,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564400.588,2026-08-24 17:40:00.588,0.001,1
fixed_0824_2026-08-24-17-36-06,1787564400.989,2026-08-24 17:40:00.989,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564400.989,2026-08-24 17:40:00.989,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564402.193,2026-08-24 17:40:02.193,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564402.193,2026-08-24 17:40:02.193,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564451.177,2026-08-24 17:40:51.177,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564451.979,2026-08-24 17:40:51.979,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564452.18,2026-08-24 17:40:52.180,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564505.37,2026-08-24 17:41:45.370,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564505.973,2026-08-24 17:41:45.973,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564505.973,2026-08-24 17:41:45.973,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564555.359,2026-08-24 17:42:35.359,0.003,1
fixed_0824_2026-08-24-17-36-06,1787564555.961,2026-08-24 17:42:35.961,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564555.961,2026-08-24 17:42:35.961,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564556.963,2026-08-24 17:42:36.963,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564556.963,2026-08-24 17:42:36.963,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564604.351,2026-08-24 17:43:24.351,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564604.952,2026-08-24 17:43:24.952,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564605.153,2026-08-24 17:43:25.153,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564651.344,2026-08-24 17:44:11.344,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564651.946,2026-08-24 17:44:11.946,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564652.147,2026-08-24 17:44:12.147,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564652.948,2026-08-24 17:44:12.948,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564652.949,2026-08-24 17:44:12.949,0.001,1
fixed_0824_2026-08-24-17-36-06,1787564700.338,2026-08-24 17:45:00.338,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564700.939,2026-08-24 17:45:00.939,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564700.939,2026-08-24 17:45:00.939,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564749.13,2026-08-24 17:45:49.130,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564749.933,2026-08-24 17:45:49.933,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564750.133,2026-08-24 17:45:50.133,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564750.935,2026-08-24 17:45:50.935,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564750.935,2026-08-24 17:45:50.935,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564800.323,2026-08-24 17:46:40.323,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564800.925,2026-08-24 17:46:40.925,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564801.126,2026-08-24 17:46:41.126,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564847.516,2026-08-24 17:47:27.516,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564847.917,2026-08-24 17:47:27.917,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564848.119,2026-08-24 17:47:28.119,0.0,1
fixed_0824_2026-08-24-17-36-06,1787564848.921,2026-08-24 17:47:28.921,0.401,1
fixed_0824_2026-08-24-17-36-06,1787564849.123,2026-08-24 17:47:29.123,0.0,1
